parameter,level,count,median,mean,min,max
optimizer_presolved_variable_types_continuous,1338,2,0.5804519775588204,0.5804519775588204,0.5492816320456194,0.6116223230720215
variable_types_binary,535,2,0.5804519775588204,0.5804519775588204,0.5492816320456194,0.6116223230720215
variable_types_continuous,8293,2,0.5804519775588204,0.5804519775588204,0.5492816320456194,0.6116223230720215
variable_types_continuous_presolved,1338,2,0.5804519775588204,0.5804519775588204,0.5492816320456194,0.6116223230720215
variable_types_integer,535,2,0.5804519775588204,0.5804519775588204,0.5492816320456194,0.6116223230720215
extra_simplex_iterations_after_uncrush,17021,1,0.5842235614915912,0.5842235614915912,0.5842235614915912,0.5842235614915912
extra_simplex_iterations_dual_to_original,79,1,0.5842235614915912,0.5842235614915912,0.5842235614915912,0.5842235614915912
linear_constraint_matrix_constrs_presolved,52013,1,0.5842235614915912,0.5842235614915912,0.5842235614915912,0.5842235614915912
linear_constraint_matrix_vars_presolved,1922,1,0.5842235614915912,0.5842235614915912,0.5842235614915912,0.5842235614915912
optimizer_presolve_removed_rows,73174,1,0.5842235614915912,0.5842235614915912,0.5842235614915912,0.5842235614915912
optimizer_presolved_columns,1922,1,0.5842235614915912,0.5842235614915912,0.5842235614915912,0.5842235614915912
optimizer_presolved_rows,52013,1,0.5842235614915912,0.5842235614915912,0.5842235614915912,0.5842235614915912
variable_types_binary,603,1,0.5842235614915912,0.5842235614915912,0.5842235614915912,0.5842235614915912
variable_types_integer,603,1,0.5842235614915912,0.5842235614915912,0.5842235614915912,0.5842235614915912
extra_simplex_iterations_after_uncrush,17,1,0.6088455175591283,0.6088455175591283,0.6088455175591283,0.6088455175591283
cutting_planes_cover,38.0,3,0.6088455175591283,0.716967936810827,0.4016398907108913,1.1404184021624617
extra_simplex_iterations_after_uncrush,53,1,0.6115354712443694,0.6115354712443694,0.6115354712443694,0.6115354712443694
extra_simplex_iterations_dual_to_original,30,1,0.6116223230720215,0.6116223230720215,0.6116223230720215,0.6116223230720215
linear_constraint_matrix_constrs,76640,3,0.6116223230720215,0.7671074524267008,0.5492816320456194,1.1404184021624617
optimizer_presolved_variable_types_binary,503,3,0.6116223230720215,0.7671074524267008,0.5492816320456194,1.1404184021624617
optimizer_presolved_variable_types_integer,503,3,0.6116223230720215,0.7671074524267008,0.5492816320456194,1.1404184021624617
variable_types_binary_presolved,503,3,0.6116223230720215,0.7671074524267008,0.5492816320456194,1.1404184021624617
variable_types_integer_presolved,503,3,0.6116223230720215,0.7671074524267008,0.5492816320456194,1.1404184021624617
extra_simplex_iterations_after_uncrush,31,3,0.6116223230720215,0.8917524791018255,0.5409050844325098,1.5227300298009452
